Index,Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
1,10:54:08,0,0,0,0,31,0,255,0,0
2,10:54:09,0,0,0,0,31,0,255,0,0
3,10:54:10,0,0,0,0,31,0,255,0,0
4,10:54:11,0,128,26,0,31,0,31,0,0
5,10:54:12,0,128,26,0,31,0,31,0,0
6,10:54:13,0,563,40,0,31,0,40,0,0
7,10:54:14,0,614,44,0,31,0,52,0,0
8,10:54:15,0,526,43,0,31,0,55,0,0
9,10:54:16,0,526,43,0,31,0,55,0,0
10,10:54:17,0,532,44,0,31,0,48,0,0
11,10:54:18,0,499,47,0,31,0,63,0,0
12,10:54:19,0,390,51,0,31,0,52,0,0
13,10:54:20,0,328,54,0,31,0,57,0,0
14,10:54:21,0,334,54,0,31,0,57,0,0
15,10:54:22,0,182,54,0,31,0,47,0,0
16,10:54:23,0,182,54,0,31,0,47,0,0
17,10:54:24,0,142,54,0,31,0,42,0,0
18,10:54:25,0,139,54,0,31,0,34,0,0
19,10:54:26,0,128,55,0,31,0,45,0,0
20,10:54:27,0,204,57,0,31,0,40,0,0
21,10:54:28,0,265,58,0,31,0,42,0,0
22,10:54:29,0,400,58,0,31,0,47,0,0
23,10:54:30,0,490,57,0,31,0,43,0,0
24,10:54:31,0,605,56,0,31,0,52,0,0
25,10:54:32,0,512,54,0,31,0,57,0,0
26,10:54:33,0,426,53,0,31,0,53,0,0
27,10:54:34,0,334,53,0,31,0,59,0,0
28,10:54:35,0,218,54,0,31,0,57,0,0
29,10:54:36,0,218,54,0,31,0,57,0,0
30,10:54:37,0,159,55,0,31,0,49,0,0
31,10:54:38,0,174,57,0,31,0,43,0,0
32,10:54:39,0,169,63,0,31,0,46,0,0
33,10:54:40,0,204,69,0,31,0,42,0,0
34,10:54:41,0,231,70,0,31,0,49,0,0
35,10:54:42,0,243,69,0,31,0,41,0,0
36,10:54:43,0,399,68,0,31,0,45,0,0
37,10:54:44,0,491,65,0,31,0,49,0,0
38,10:54:45,0,462,62,0,31,0,51,0,0
39,10:54:46,0,537,60,0,31,0,55,0,0
40,10:54:47,0,464,62,0,31,0,55,0,0
41,10:54:48,0,498,62,0,31,0,51,0,0
42,10:54:49,0,479,65,0,31,0,55,0,0
43,10:54:50,0,424,70,0,31,0,54,0,0
44,10:54:51,0,545,75,0,31,0,43,0,0
45,10:54:52,0,549,80,0,31,0,47,0,0
46,10:54:53,0,628,82,0,31,0,53,0,0
47,10:54:54,0,698,83,0,31,0,50,0,0
48,10:54:55,0,763,81,0,31,0,47,0,0
49,10:54:56,0,870,78,0,31,0,45,0,0
50,10:54:57,0,904,79,0,31,0,52,0,0
51,10:54:58,0,1070,79,0,31,0,43,0,0
52,10:54:59,0,1381,84,0,31,0,48,0,0
53,10:55:00,0,1432,91,0,31,0,49,0,0
54,10:55:01,0,1317,97,0,31,0,41,0,0
55,10:55:02,0,1418,102,0,31,0,49,0,0
56,10:55:03,0,1352,104,0,31,0,48,0,0
57,10:55:04,0,1360,103,0,31,0,49,0,0
58,10:55:05,0,1339,102,0,31,0,50,0,0
59,10:55:06,0,1516,103,0,31,0,47,0,0
60,10:55:07,0,1475,107,0,31,0,47,0,0
61,10:55:08,0,1164,110,0,31,0,51,0,0
62,10:55:09,0,1527,113,0,31,0,48,0,0
63,10:55:10,0,1500,116,0,31,0,48,0,0
64,10:55:11,0,1319,117,0,31,0,51,0,0
65,10:55:12,0,989,116,0,31,0,50,0,0
66,10:55:13,0,1015,118,0,31,0,48,0,0
67,10:55:14,0,969,122,0,31,0,48,0,0
68,10:55:15,0,1034,122,0,31,0,49,0,0
69,10:55:16,0,980,119,0,31,0,48,0,0
70,10:55:17,0,827,117,0,31,0,53,0,0
71,10:55:18,0,822,115,0,31,0,49,0,0
72,10:55:19,0,834,117,0,31,0,49,0,0
73,10:55:20,0,801,118,0,31,0,48,0,0
74,10:55:21,0,845,117,0,31,0,45,0,0
75,10:55:22,0,796,114,0,31,0,49,0,0
76,10:55:23,0,185,110,0,31,0,50,0,0
77,10:55:24,0,38,106,0,31,0,54,0,0
78,10:55:25,0,24,100,0,31,0,45,0,0
79,10:55:26,0,18,97,0,31,0,14,0,0
80,10:55:27,0,15,97,0,31,0,41,0,0
81,10:55:28,0,16,96,0,31,0,46,0,0
82,10:55:29,0,18,92,0,31,0,61,0,0
83,10:55:30,0,17,90,0,31,0,44,0,0
84,10:55:31,0,27,88,0,31,0,20,0,0
85,10:55:32,0,9,84,0,31,0,61,0,0
86,10:55:33,0,5,83,0,31,0,54,0,0
87,10:55:34,0,4,83,0,31,0,60,0,0
88,10:55:35,0,6,84,0,31,0,61,0,0
89,10:55:36,0,7,83,0,31,0,42,0,0
90,10:55:37,0,6,80,0,31,0,45,0,0
91,10:55:38,0,3,78,0,31,0,50,0,0
92,10:55:39,0,2,76,0,31,0,50,0,0
93,10:55:40,0,1,74,0,31,0,100,0,0
94,10:55:41,0,1,73,0,31,0,66,0,0
95,10:55:42,0,2,72,0,31,0,75,0,0
96,10:55:43,0,1,72,0,31,0,50,0,0
